City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Gizo,SB,83.03,light rain,-8.103,156.8419,Imagination Island
297,Hirara,JP,77.43,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
300,Nichinan,JP,66.45,overcast clouds,31.6,131.3667,Guest House Aki
302,Hamilton,US,72.64,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
303,Meulaboh,ID,77.0,overcast clouds,4.1363,96.1285,Kost Pria
304,Bubaque,GW,77.2,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
306,Pochutla,MX,91.81,few clouds,15.7432,-96.4661,Hotel Posada San Jose
311,Sukabumi,ID,72.54,overcast clouds,-6.9181,106.9267,The Bountie Hotels and Convention Center Sukabumi
313,Alofi,NU,76.89,drizzle,-19.0595,-169.9187,Taloa Heights
318,Butwal,NP,78.01,few clouds,27.7006,83.4484,Hotel Sindoor Pvt. Ltd.
320,Iralaya,HN,85.1,broken clouds,15.0,-83.2333,Iglesia morava renovada
321,Pesqueira,BR,70.7,broken clouds,-8.3578,-36.6964,Pousada do João
323,Chalmette,US,89.01,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
324,Totness,SR,80.15,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
329,Camapua,BR,73.38,clear sky,-19.5314,-54.0439,Comercial Estrela
331,Tshikapa,CD,73.58,overcast clouds,-6.4167,20.8,Tatem beach
333,Kihei,US,84.22,scattered clouds,20.785,-156.4656,Maui Sunset
337,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
342,Huarmey,PE,69.89,overcast clouds,-10.0681,-78.1522,Hotel Miramar
344,Black River,JM,83.88,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
345,Diamantino,BR,79.93,clear sky,-14.4086,-56.4461,Hotel Delta
346,Kongolo,CD,70.74,light rain,-5.3833,27.0,GUEST HOUSE OASIS
347,Acajutla,SV,85.89,broken clouds,13.5928,-89.8275,Laureles
348,Weligama,LK,80.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
350,Jalu,LY,73.45,clear sky,29.0331,21.5482,صاحبة الفخامة
351,Bellavista,PE,85.71,broken clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
352,Tual,ID,84.11,moderate rain,-5.6667,132.75,Grand Vilia Hotel
357,Nuevo Progreso,MX,94.53,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
360,Prado,BR,72.86,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
361,Magole,TZ,69.13,overcast clouds,-6.3667,37.3667,Juma lubelwa
362,Pangkalanbuun,ID,74.14,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
364,Popondetta,PG,76.57,overcast clouds,-8.7537,148.2534,Timos Transit House
365,Bontang,ID,77.02,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
366,Ranong,TH,78.98,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
368,Bud,US,71.82,broken clouds,39.447,-86.1758,Ted McQuinn Trust
374,Aracati,BR,79.41,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
379,Nautla,MX,90.3,few clouds,20.2167,-96.7833,Casa Blanca
380,Challans,FR,68.2,overcast clouds,46.8436,-1.8749,Citotel Le Challans
387,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
388,Luyang,CN,66.87,overcast clouds,27.6239,110.0989,Zhijia Fashion Hotel
389,San Matias,BO,81.77,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
390,Kawalu,ID,73.24,overcast clouds,-7.3817,108.2082,West Jontor
391,Luorong,CN,71.44,overcast clouds,24.4058,109.6086,荣立大酒店
392,Nisia Floresta,BR,81.41,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
393,Puerto Escondido,MX,88.68,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
396,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
398,Soyo,AO,78.21,few clouds,-6.1349,12.3689,Hotel Mpampa
402,Concepcion De Ataco,SV,82.98,broken clouds,13.8703,-89.8486,Hotel Misión de Angeles
404,Abu Kamal,SY,70.07,clear sky,34.4506,40.9171,البوكمال
