City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Emerald,AU,2022-05-06 04:30:18,-23.5333,148.1667,75.34,64,100,12.66
243,Calvinia,ZA,2022-05-06 04:30:19,-31.4707,19.776,55.13,48,0,4.09
244,Zhob,PK,2022-05-06 04:30:20,31.3411,69.4481,81.05,13,0,5.17
245,Buta,CD,2022-05-06 04:30:20,2.7858,24.73,69.84,100,97,0.22
246,Brasilia De Minas,BR,2022-05-06 04:30:21,-16.2064,-44.4333,68.02,76,6,4.27
247,Cidreira,BR,2022-05-06 04:30:22,-30.1811,-50.2056,63.36,67,74,3.38
248,Bloemfontein,ZA,2022-05-06 04:30:22,-29.1211,26.214,38.68,93,0,0.0
249,Baruun-Urt,MN,2022-05-06 04:30:23,46.6806,113.2792,45.88,18,1,12.93
250,University Park,US,2022-05-06 04:30:23,25.7465,-80.3676,80.62,84,40,4.61
251,Altay,CN,2022-05-06 04:30:24,47.8667,88.1167,65.82,47,100,8.16
252,Xixiang,CN,2022-05-06 04:30:25,35.1628,112.865,90.79,28,76,16.55
253,Kutum,SD,2022-05-06 04:30:25,14.2,24.6667,74.86,20,31,5.06
254,Pisco,PE,2022-05-06 04:30:26,-13.7,-76.2167,64.02,88,30,5.75
255,Kajaani,FI,2022-05-06 04:30:27,64.2273,27.7285,41.05,75,0,8.05
256,Machali,CL,2022-05-06 04:30:27,-34.1833,-70.6667,58.17,59,0,2.35
257,Berbera,SO,2022-05-06 04:25:49,10.4396,45.0143,84.7,71,13,2.51
258,Kuusamo,FI,2022-05-06 04:30:28,65.9667,29.1833,37.44,81,20,9.22
259,East London,ZA,2022-05-06 04:30:28,-33.0153,27.9116,58.14,77,0,5.75
260,Turbat,PK,2022-05-06 04:30:29,26.0023,63.044,90.63,25,0,3.24
261,Heihe,CN,2022-05-06 04:30:29,50.2441,127.4902,55.98,21,100,19.1
262,Vardo,NO,2022-05-06 04:30:30,70.3705,31.1107,35.82,96,100,12.35
263,Hamilton,US,2022-05-06 04:28:58,39.1834,-84.5333,58.23,96,100,8.05
264,Altamira,BR,2022-05-06 04:30:31,-3.2033,-52.2064,72.3,99,77,2.21
265,Whitecourt,CA,2022-05-06 04:30:31,54.1502,-115.6855,61.84,41,100,4.61
266,Vila Velha,BR,2022-05-06 04:30:32,-20.3297,-40.2925,76.95,94,100,3.44
267,Yatou,CN,2022-05-06 04:30:32,37.15,122.3833,71.44,57,42,6.22
268,Sioux Lookout,CA,2022-05-06 04:30:33,50.1001,-91.917,37.47,81,40,3.44
269,Shaunavon,CA,2022-05-06 04:30:34,49.6501,-108.4181,65.98,53,100,17.69
270,Le Port,RE,2022-05-06 04:30:30,-20.9373,55.2919,78.8,77,21,7.7
271,Rawson,AR,2022-05-06 04:30:34,-43.3002,-65.1023,57.67,62,50,7.47
272,Khatanga,RU,2022-05-06 04:30:35,71.9667,102.5,21.24,83,69,18.97
273,Xichang,CN,2022-05-06 04:30:35,27.8964,102.2634,79.07,37,58,3.83
274,Lugazi,UG,2022-05-06 04:30:36,0.3772,32.9197,66.56,93,70,1.81
275,Beloha,MG,2022-05-06 04:31:36,-25.1667,45.05,72.9,70,6,10.96
276,Elat,IL,2022-05-06 04:31:37,29.5581,34.9482,64.24,59,20,11.5
277,Bloemhof,ZA,2022-05-06 04:31:37,-27.6469,25.607,54.84,47,0,4.36
278,Gondanglegi,ID,2022-05-06 04:31:38,-7.7479,112.0132,88.52,64,10,6.42
279,Te Anau,NZ,2022-05-06 04:31:38,-45.4167,167.7167,59.22,82,100,2.37
280,Melendugno,IT,2022-05-06 04:31:39,40.2747,18.3368,55.49,100,40,1.14
281,Rumphi,MW,2022-05-06 04:31:40,-11.0186,33.8575,62.13,91,85,2.37
282,Laguna,US,2022-05-06 04:31:40,38.421,-121.4238,66.76,69,0,9.22
283,Bukachacha,RU,2022-05-06 04:31:41,52.9833,116.9167,49.21,16,41,10.89
284,Naze,JP,2022-05-06 04:31:41,28.3667,129.4833,76.12,92,100,17.65
285,Gweta,BW,2022-05-06 04:31:42,-20.1833,25.2333,61.16,55,3,8.37
286,Penukonda,IN,2022-05-06 04:31:42,14.0833,77.5833,89.98,37,17,5.26
287,Half Moon Bay,US,2022-05-06 04:31:43,37.4636,-122.4286,60.71,84,100,10.36
288,Klaksvik,FO,2022-05-06 04:31:43,62.2266,-6.589,45.52,85,95,22.26
289,Yuli,NG,2022-05-06 04:31:44,9.6989,10.2744,77.34,78,100,6.15
290,Berlevag,NO,2022-05-06 04:31:44,70.8578,29.0864,35.4,90,95,16.46
291,San Quintin,MX,2022-05-06 04:31:45,30.4833,-115.95,60.48,90,13,9.98
292,Villa Carlos Paz,AR,2022-05-06 04:31:45,-31.4241,-64.4978,56.89,36,51,4.0
293,Biak,ID,2022-05-06 04:31:46,-0.9131,122.8766,83.25,74,96,2.42
294,Ballina,AU,2022-05-06 04:31:47,-28.8667,153.5667,73.58,87,100,9.22
