City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
214,Sahuaripa,MX,29.05,-109.2333,97.59,7,0,20.83,clear sky,0,0
215,Polovinnoye,RU,54.7914,65.9864,49.77,33,83,4.52,broken clouds,0,0
216,Lebu,CL,-37.6167,-73.65,55.83,97,100,2.75,overcast clouds,0,0
217,Cidreira,BR,-30.1811,-50.2056,66.51,78,0,14.2,clear sky,0,0
218,Harper,LR,4.375,-7.7169,76.46,92,100,9.01,overcast clouds,0,0
219,Krasnoselkup,RU,65.7,82.4667,28.09,92,100,11.3,overcast clouds,0,0
220,Charyshskoye,RU,51.3978,83.5598,35.62,54,4,3.71,clear sky,0,0
221,Richards Bay,ZA,-28.783,32.0377,65.41,89,97,10.69,light rain,0,0
222,Fortuna,US,40.5982,-124.1573,49.93,85,75,11.5,broken clouds,0,0
223,Severo-Kurilsk,RU,50.6789,156.125,38.62,95,100,17.76,moderate rain,0,0
224,Qasigiannguit,GL,68.8193,-51.1922,28.65,82,5,1.3,clear sky,0,0
225,Kano,NG,12.0001,8.5167,91.29,43,0,3.44,clear sky,0,0
226,Paita,PE,-5.0892,-81.1144,72.52,72,87,19.15,overcast clouds,0,0
227,Brae,GB,60.3964,-1.353,47.53,87,100,16.93,overcast clouds,0,0
228,Sobolevo,RU,54.4299,31.8996,43.83,77,100,7.61,overcast clouds,0,0
229,Pontianak,ID,-0.0333,109.3333,75.18,100,75,3.44,broken clouds,0,0
230,Salalah,OM,17.0151,54.0924,84.29,74,40,3.44,scattered clouds,0,0
231,Nouadhibou,MR,20.931,-17.0347,66.18,88,20,14.97,few clouds,0,0
232,Tahe,CN,52.3333,124.7333,45.61,39,95,4.92,overcast clouds,0,0
233,Awbari,LY,26.5921,12.7805,72.07,17,0,7.7,clear sky,0,0
234,Warwick,US,41.7001,-71.4162,55.72,39,75,29.93,broken clouds,0,0
235,Monrovia,LR,6.3005,-10.7969,77.74,87,100,6.24,light rain,0,0
236,Zhaotong,CN,27.3167,103.7167,58.82,90,100,2.57,overcast clouds,0,0
237,Carnarvon,AU,-24.8667,113.6333,62.67,94,0,5.75,clear sky,0,0
238,Fairbanks,US,64.8378,-147.7164,44.22,62,100,12.66,overcast clouds,0,0
239,Zhigansk,RU,66.7697,123.3711,19.56,93,100,25.64,snow,0,0
240,Thinadhoo,MV,0.5333,72.9333,82.4,81,100,17.67,moderate rain,0,0
241,Corowa,AU,-36.0333,146.3833,39.58,89,0,5.3,clear sky,0,0
242,Iqaluit,CA,63.7506,-68.5145,29.93,63,75,4.61,broken clouds,0,0
243,Longyearbyen,SJ,78.2186,15.6401,17.44,62,75,20.71,broken clouds,0,0
244,Progress,US,40.2851,-76.8314,65.75,39,0,12.66,clear sky,0,0
245,Honiara,SB,-9.4333,159.95,80.37,84,98,7.47,overcast clouds,0,0
246,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,82,81,2.26,broken clouds,0,0
247,Balikpapan,ID,-1.2675,116.8289,77.99,94,40,4.61,scattered clouds,0,0
248,Eregli,TR,37.5133,34.0467,51.13,64,69,2.19,broken clouds,0,0
249,Santa Cruz Del Norte,CU,23.1539,-81.9236,83.14,65,39,6.24,scattered clouds,0,0
